srcIP	dstIP	srcPort	dstPort	protocol	timeStamp	add/rmv
176283407	143002614	62629	3478	17	1709879409	0
2102677092	176283407	37894	62629	17	1709879409	0
176283407	2102677092	62629	37894	17	1709879409	0
1961331419	176283407	41487	62629	17	1709879410	1
176283407	1961331419	62629	41487	17	1709879410	1
1857352923	176283407	33708	62629	17	1709879410	1
176283407	1857352923	62629	33708	17	1709879410	1
1912322473	176283407	10424	62629	17	1709879410	0
176283407	1912322473	62629	10424	17	1709879410	0
465241414	176283407	17123	62629	17	1709879410	0
176283407	465241414	62629	17123	17	1709879410	0
176283407	1974933900	62629	5427	17	1709879411	1
1912322473	176283407	10424	62629	17	1709879411	1
1974287414	176283407	60375	62629	17	1709879411	1
1974919333	176283407	47181	62629	17	1709879411	1
176283407	1912322473	62629	10424	17	1709879411	1
2569337882	176283407	1177	62629	17	1709879411	1
1881743130	176283407	1124	62629	17	1709879411	1
